_runtime,_step,_timestamp,baseline/pretrained_lenient,baseline/pretrained_strict,baseline/random_proj_lenient,baseline/random_proj_strict,epoch,train/backbone_lr,train/loss,train/proj_lr,val_gen/accuracy_lenient,val_gen/accuracy_strict,val_gen/hmdb51_lenient,val_gen/hmdb51_strict,val_gen/kinetics_lenient,val_gen/kinetics_strict,val_gen/qvid_lenient,val_gen/qvid_strict
6697.001413628,100,1776353045.4138255,,,,,1,8.10852009087344e-06,0.3235074781119692,8.108520090873439e-05,0.66,0.62,0.8571428571428571,0.8571428571428571,0.5238095238095238,0.5238095238095238,0.5,0.25
7328.243990571,110,1776353574.4359314,,,,,1,7.674636635496268e-06,0.2464397444458882,7.674636635496267e-05,0.68,0.62,0.8571428571428571,0.8571428571428571,0.5238095238095238,0.5238095238095238,0.625,0.25
7853.821301543,120,1776354205.6784847,,,,,1,7.210448478308349e-06,0.31896263442290546,7.21044847830835e-05,0.68,0.62,0.8571428571428571,0.8571428571428571,0.5238095238095238,0.5238095238095238,0.625,0.25
8340.780423066,130,1776354731.2557225,,,,,1,6.721215056610801e-06,0.298758561932118,6.721215056610801e-05,0.72,0.66,0.9047619047619048,0.9047619047619048,0.5714285714285714,0.5714285714285714,0.625,0.25
8851.122889212,140,1776355218.2150276,,,,,1,6.212479580559212e-06,0.2079778507961237,6.212479580559212e-05,0.72,0.66,0.9523809523809523,0.9523809523809523,0.5238095238095238,0.5238095238095238,0.625,0.25
9340.643699111,150,1776355728.5574138,,,,,1,5.690006226377629e-06,0.281638489393481,5.690006226377629e-05,0.76,0.68,0.9523809523809523,0.9523809523809523,0.5714285714285714,0.5714285714285714,0.75,0.25
9900.869185445,160,1776356218.0781581,,,,,1,5.15971482593869e-06,0.20193431868037806,5.15971482593869e-05,0.8,0.72,0.9523809523809523,0.9523809523809523,0.6666666666666666,0.6666666666666666,0.75,0.25
10382.434863463,170,1776356778.3037004,,,,,1,4.627613792703058e-06,0.16029369964044235,4.627613792703058e-05,0.78,0.7,0.9523809523809523,0.9523809523809523,0.6190476190476191,0.6190476190476191,0.75,0.25
10952.949051275,180,1776357259.8693657,,,,,1,4.099732043994079e-06,0.26853478429702593,4.099732043994079e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
11461.095332766,190,1776357830.3834667,,,,,1,3.5820506909554693e-06,0.2360854082176047,3.582050690955469e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
11968.474400498,200,1776358338.529835,,,,,1,3.0804352701721307e-06,0.22564647420795153,3.080435270172131e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
12552.006212004,210,1776358845.9089656,,,,,1,2.60056928479689e-06,0.22224703792267064,2.6005692847968897e-05,0.8,0.74,1,1,0.6190476190476191,0.6190476190476191,0.75,0.375
13046.554445949,220,1776359429.440691,,,,,1,2.14788980818877e-06,0.2582708649654705,2.14788980818877e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
13569.257136732,230,1776359923.9890306,,,,,1,1.7275258796992756e-06,0.2488030797142528,1.7275258796992754e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
14071.043651588,240,1776360446.691611,,,,,1,1.3442403906071021e-06,0.2227820956177311,1.3442403906071022e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
14656.258144459,250,1776360948.4785113,,,,,1,1.002376118656772e-06,0.32659442061194566,1.0023761186567721e-05,0.78,0.7,1,1,0.6190476190476191,0.6190476190476191,0.625,0.125
15145.526730325,260,1776361533.6926649,,,,,1,7.058065226515148e-07,0.13396203196134593,7.058065226515148e-06,0.78,0.7,1,1,0.6190476190476191,0.6190476190476191,0.625,0.125
15644.790062523,270,1776362022.961344,,,,,1,4.578918546172667e-07,0.14976479873653262,4.578918546172667e-06,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
16235.13338533,280,1776362522.22452,,,,,1,2.614410868045342e-07,0.15409363621465672,2.6144108680453416e-06,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
16713.609868221,290,1776363112.5679872,,,,,1,1.1868008491037586e-07,0.23467535972904444,1.1868008491037586e-06,0.78,0.7,1,1,0.6190476190476191,0.6190476190476191,0.625,0.125
